gene_claim_name	gene_concept_id	gene_name	interaction_source_db_name	interaction_source_db_version	interaction_type	interaction_score	drug_claim_name	drug_concept_id	drug_name	approved	immunotherapy	anti_neoplastic
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	0.065654977	Palbociclib	rxcui:1601374	PALBOCICLIB	TRUE	FALSE	TRUE
MAP2K1	hgnc:6840	MAP2K1	JAX-CKB	5-Jun-23	NULL	1.301030601	MAP855	iuphar.ligand:11940	MAP855	FALSE	FALSE	TRUE
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	NULL	UNC2025	NULL	NULL	NULL	NULL	NULL
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	NULL	BI-847325	NULL	NULL	NULL	NULL	NULL
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	0.536182308	LY3009120	iuphar.ligand:8943	LY3009120	FALSE	FALSE	FALSE
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	0.357454872	SAR 405838.00	ncit:C106120	P53-HDM2 INTERACTION INHIBITOR MI-773	FALSE	FALSE	FALSE
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	NULL	UCM-1336	NULL	NULL	NULL	NULL	NULL
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	0.107236462	Lorlatinib	rxcui:2103164	LORLATINIB	TRUE	FALSE	TRUE
NRAS	hgnc:7989	NRAS	JAX-CKB	5-Jun-23	NULL	0.080427346	GSK2126458	ncit:C88270	OMIPALISIB	FALSE	FALSE	TRUE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	NULL	Radiotherapy	NULL	NULL	NULL	NULL	NULL
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.291980465	Borussertib	chembl:CHEMBL4795065	BORUSSERTIB	FALSE	FALSE	FALSE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.175188279	Perifosine	ncit:C1727	PERIFOSINE	FALSE	FALSE	TRUE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.291980465	AT13148	ncit:C101786	MULTI-AGC KINASE INHIBITOR AT13148	FALSE	FALSE	FALSE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.145990232	Linsitinib	ncit:C70982	LINSITINIB	FALSE	FALSE	TRUE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.291980465	AZD0156	iuphar.ligand:9942	AZD0156	FALSE	FALSE	FALSE
PIK3CA	hgnc:8975	PIK3CA	JAX-CKB	5-Jun-23	NULL	0.013740257	Docetaxel	rxcui:1299922	DOCETAXEL ANHYDROUS	TRUE	FALSE	TRUE
PTEN	hgnc:9588	PTEN	JAX-CKB	5-Jun-23	NULL	0.048811079	Rucaparib	rxcui:1862579	RUCAPARIB	TRUE	FALSE	TRUE
PTEN	hgnc:9588	PTEN	JAX-CKB	5-Jun-23	NULL	0.190668278	Alpelisib	rxcui:2169285	ALPELISIB	TRUE	FALSE	TRUE
PTEN	hgnc:9588	PTEN	JAX-CKB	5-Jun-23	NULL	NULL	DETD-35	NULL	NULL	NULL	NULL	NULL
PTEN	hgnc:9588	PTEN	JAX-CKB	5-Jun-23	NULL	NULL	unspecified PD-1 antibody	NULL	NULL	NULL	NULL	NULL
PTEN	hgnc:9588	PTEN	JAX-CKB	5-Jun-23	NULL	0.406758992	Capivasertib	ncit:C102564	CAPIVASERTIB	FALSE	FALSE	TRUE
